연료원,지역,거래일,충전량 합계(Wh),방전량 합계(Wh)
ESS,강원도,2023-06-08,339687309,304472923
ESS,경기도,2023-06-08,69844280,60406613
ESS,경상남도,2023-06-08,167532418,151220123
ESS,경상북도,2023-06-08,366388809,364334812
ESS,광주시,2023-06-08,12372040,10894280
ESS,대구시,2023-06-08,14321552,12361764
ESS,대전시,2023-06-08,279040,229200
ESS,부산시,2023-06-08,12915008,11532296
ESS,서울시,2023-06-08,323800,258120
ESS,세종시,2023-06-08,7826020,6947080
ESS,울산시,2023-06-08,2054820,1671300
ESS,인천시,2023-06-08,10772875,8654445
ESS,전라남도,2023-06-08,2512940917,2253208269
ESS,전라북도,2023-06-08,309633220,275885715
ESS,제주도,2023-06-08,48096973,41917260
ESS,충청남도,2023-06-08,449164240,402068797
ESS,충청북도,2023-06-08,231221435,205061459
ESS,강원도,2023-06-09,397542028,356087933
ESS,경기도,2023-06-09,106217428,92353124
ESS,경상남도,2023-06-09,178319237,153114569
ESS,경상북도,2023-06-09,438213467,370172002
ESS,광주시,2023-06-09,12527960,11032400
ESS,대구시,2023-06-09,14327296,12016816
ESS,대전시,2023-06-09,281640,228240
ESS,부산시,2023-06-09,12992252,11601856
ESS,서울시,2023-06-09,807600,705720
ESS,세종시,2023-06-09,7845340,6972600
ESS,울산시,2023-06-09,2281940,1807780
ESS,인천시,2023-06-09,28655898,22880469
ESS,전라남도,2023-06-09,2515162631,2262881046
ESS,전라북도,2023-06-09,302343589,263542309
ESS,제주도,2023-06-09,57984470,39111363
ESS,충청남도,2023-06-09,568931605,502817943
ESS,충청북도,2023-06-09,232699766,207747453
ESS,강원도,2023-06-10,370435383,326714434
ESS,경기도,2023-06-10,100000484,86507747
ESS,경상남도,2023-06-10,170047102,149420682
ESS,경상북도,2023-06-10,389261836,348206020
ESS,광주시,2023-06-10,12478840,10507920
ESS,대구시,2023-06-10,13917692,11893702
ESS,대전시,2023-06-10,282080,229360
ESS,부산시,2023-06-10,13666316,12170164
ESS,서울시,2023-06-10,608240,525000
ESS,세종시,2023-06-10,7835580,6964640
ESS,울산시,2023-06-10,1639320,1413500
ESS,인천시,2023-06-10,45294337,31344793
ESS,전라남도,2023-06-10,2493645967,2242434043
ESS,전라북도,2023-06-10,307314622,272115443
ESS,제주도,2023-06-10,69214255,65340188
ESS,충청남도,2023-06-10,554459680,492675246
ESS,충청북도,2023-06-10,227612309,201440910
ESS,강원도,2023-06-11,353833234,300730798
ESS,경기도,2023-06-11,97087587,85022275
ESS,경상남도,2023-06-11,160254148,143829157
ESS,경상북도,2023-06-11,395322863,317881357
ESS,광주시,2023-06-11,11251040,9921920
ESS,대구시,2023-06-11,13736496,11836826
ESS,대전시,2023-06-11,281560,228600
ESS,부산시,2023-06-11,11191660,9958992
ESS,서울시,2023-06-11,801000,704200
ESS,세종시,2023-06-11,7834360,6964380
ESS,울산시,2023-06-11,1290700,1098240
ESS,인천시,2023-06-11,32029739,29868067
ESS,전라남도,2023-06-11,2424485883,2209451549
ESS,전라북도,2023-06-11,302593754,268745843
ESS,제주도,2023-06-11,37373244,35575488
ESS,충청남도,2023-06-11,574049434,505283364
ESS,충청북도,2023-06-11,224619690,201061802
ESS,강원도,2023-06-12,328060826,313661683
ESS,경기도,2023-06-12,101855545,91995299
ESS,경상남도,2023-06-12,160134807,142380044
ESS,경상북도,2023-06-12,372802133,360695305
ESS,광주시,2023-06-12,11959720,10503520
ESS,대구시,2023-06-12,12228716,10750804
ESS,대전시,2023-06-12,280200,228680
ESS,부산시,2023-06-12,12412160,10896792
ESS,서울시,2023-06-12,799440,702840
ESS,세종시,2023-06-12,6029340,5181360
ESS,울산시,2023-06-12,1534600,1196600
ESS,인천시,2023-06-12,26179023,24847559
ESS,전라남도,2023-06-12,2467209986,2214122560
ESS,전라북도,2023-06-12,314038415,277445203
ESS,제주도,2023-06-12,31054654,25629420
ESS,충청남도,2023-06-12,531722184,478986010
ESS,충청북도,2023-06-12,228618149,206021960
ESS,강원도,2023-06-13,382209583,331428404
ESS,경기도,2023-06-13,105867855,93558099
ESS,경상남도,2023-06-13,143671023,122887063
ESS,경상북도,2023-06-13,346782043,316874312
ESS,광주시,2023-06-13,11957200,10464040
ESS,대구시,2023-06-13,12650158,10824654
ESS,대전시,2023-06-13,280400,228960
ESS,부산시,2023-06-13,13983064,12418380
ESS,서울시,2023-06-13,803560,705840
ESS,세종시,2023-06-13,8365380,7675580
ESS,울산시,2023-06-13,1699160,1437280
ESS,인천시,2023-06-13,28036444,23562752
ESS,전라남도,2023-06-13,2482212773,2220813942
ESS,전라북도,2023-06-13,314992490,278872198
ESS,제주도,2023-06-13,37187175,30781436
ESS,충청남도,2023-06-13,583725182,520136511
ESS,충청북도,2023-06-13,231832130,206912558
ESS,강원도,2023-06-14,365097170,333531728
ESS,경기도,2023-06-14,104476364,92712748
ESS,경상남도,2023-06-14,157617329,140188649
ESS,경상북도,2023-06-14,372174163,300566916
ESS,광주시,2023-06-14,11937840,10558920
ESS,대구시,2023-06-14,12379328,10599090
ESS,대전시,2023-06-14,280320,229240
ESS,부산시,2023-06-14,15244792,12072176
ESS,서울시,2023-06-14,648360,392960
ESS,세종시,2023-06-14,8573680,7644220
ESS,울산시,2023-06-14,1902440,1489340
ESS,인천시,2023-06-14,30616574,23401872
ESS,전라남도,2023-06-14,2489983320,2239202390
ESS,전라북도,2023-06-14,312067929,276501445
ESS,제주도,2023-06-14,67459929,51149142
ESS,충청남도,2023-06-14,591075400,528510024
ESS,충청북도,2023-06-14,229969964,204814807
ESS,강원도,2023-06-15,367284388,325388452
ESS,경기도,2023-06-15,103380511,91152375
ESS,경상남도,2023-06-15,151255318,136543968
ESS,경상북도,2023-06-15,325579342,319940405
ESS,광주시,2023-06-15,11946000,10929160
ESS,대구시,2023-06-15,14101040,12166390
ESS,대전시,2023-06-15,279440,228680
ESS,부산시,2023-06-15,14611128,12404512
ESS,서울시,2023-06-15,482400,411440
ESS,세종시,2023-06-15,8550440,7625040
ESS,울산시,2023-06-15,1972080,1591720
ESS,인천시,2023-06-15,33193452,24588632
ESS,전라남도,2023-06-15,2508406853,2243953596
ESS,전라북도,2023-06-15,316447904,281723277
