시군별,연도별,면적 (㎢),면적비율(%),읍,면,행정동,법정동,통,행정리,반
동해시,2018,180.2,1.1,0,0,10,36,262,0,1428
태백시,2018,303.53,1.8,0,0,8,17,183,0,944
속초시,2018,105.76,0.6,0,0,8,13,225,0,1133
삼척시,2018,1187.16,7,2,6,4,27,114,161,1405
홍천군,2018,1820.18,10.8,1,9,0,0,0,198,1054
횡성군,2018,998.06,5.9,1,8,0,0,0,176,779
영월군,2018,1127.43,6.7,2,7,0,0,0,182,802
평창군,2018,1464.05,8.7,1,7,0,0,0,191,736
정선군,2018,1219.77,7.2,4,5,0,0,0,183,966
철원군,2018,889.47,5.3,4,7,0,0,0,114,657
화천군,2018,908.92,5.4,1,4,0,0,0,85,378
양구군,2018,706.55,4.2,1,4,0,0,0,84,349
인제군,2018,1645.18,9.7,1,5,0,0,0,85,410
고성군,2018,664.28,3.9,2,4,0,0,0,128,561
양양군,2018,630.09,3.7,1,5,0,0,0,124,440
